0,15,27
1,21,74
2,88,96
3,94,44
4,88,71
5,92,62
6,77,88
7,26,84
8,51,9
9,98,67
10,34,50
11,100,82
12,77,60
13,56,88
14,68,41
15,0,42
16,24,39
17,91,21
18,60,94
19,26,31
20,77,53
21,95,18
22,30,69
23,13,2
24,35,34
25,67,56
26,12,69
27,28,90
28,7,56
29,41,96
30,49,37
31,98,100
32,16,80
33,14,86
34,57,58
35,92,65
36,74,96
37,45,79
38,71,13
39,76,81
40,21,76
41,67,45
42,99,7
43,89,87
44,100,17
45,100,88
46,62,80
47,25,25
48,59,44
49,47,82
50,61,29
51,15,76
52,4,40
53,29,67
54,14,55
55,12,90
56,87,93
57,4,37
58,96,38
59,42,7
60,5,29
61,68,20
62,20,29
63,61,31
64,28,93
65,37,27
66,57,28
67,55,78
68,16,90
69,58,101
70,85,96
71,97,59
72,19,28
73,28,81
74,56,27
75,61,43
76,22,61
77,7,56
78,75,18
79,25,63
80,4,1
81,24,87
82,42,47
83,11,13
84,95,101
85,85,61
86,83,62
87,68,21
88,82,102
89,61,25
90,30,101
91,64,62
92,48,101
93,76,20
94,96,94
95,6,66
96,0,66
97,42,60
98,34,82
99,12,80
100,63,83
101,93,40
102,50,87
103,51,39
104,36,59
105,42,21
106,64,76
107,56,24
108,34,92
109,2,37
110,87,66
111,36,56
112,77,15
113,100,94
114,1,38
115,86,35
116,11,85
117,21,71
118,72,96
119,97,86
120,31,52
121,78,58
122,77,45
123,66,67
124,33,4
125,99,51
126,95,13
127,38,65
128,31,100
129,24,99
130,4,44
131,49,84
132,26,61
133,33,52
134,32,32
135,7,0
136,37,74
137,43,37
138,92,98
139,31,4
140,47,41
141,70,87
142,91,26
143,20,37
144,18,6
145,71,76
146,60,82
147,6,69
148,78,52
149,38,6
150,14,85
151,15,57
152,69,55
153,47,98
154,33,17
155,2,24
156,35,72
157,80,34
158,88,69
159,11,39
160,99,3
161,67,53
162,41,79
163,15,43
164,89,62
165,41,12
166,18,72
167,65,31
168,99,101
169,25,64
170,20,64
171,26,91
172,7,46
173,67,36
174,71,14
175,26,59
176,10,49
177,81,82
178,91,57
179,55,44
180,60,4
181,98,12
182,74,31
183,68,15
184,40,61
185,3,36
186,10,95
187,17,52
188,12,90
189,52,16
190,17,99
191,73,89
192,24,50
193,46,61
194,54,20
195,41,49
196,52,79
197,51,19
198,23,6
199,62,22
200,81,68
201,9,60
202,42,33
203,81,78
204,3,14
205,43,37
206,75,70
207,27,70
208,1,34
209,74,100
210,10,15
211,68,70
212,42,31
213,53,82
214,1,30
215,84,58
216,31,59
217,4,22
218,6,63
219,6,61
220,19,99
221,12,51
222,25,23
223,82,102
224,4,71
225,65,54
226,51,53
227,70,5
228,54,24
229,99,9
230,48,16
231,18,58
232,52,59
233,12,0
234,21,32
235,77,82
236,63,55
237,93,75
238,96,16
239,28,73
240,32,32
241,16,74
242,71,1
243,70,54
244,37,45
245,86,65
246,55,67
247,69,21
248,93,31
249,79,11
250,44,93
251,87,102
252,38,59
253,67,55
254,32,2
255,5,90
256,83,9
257,13,47
258,23,79
259,58,87
260,24,92
261,72,64
262,34,100
263,85,54
264,5,55
265,19,15
266,96,33
267,24,97
268,1,1
269,67,97
270,39,44
271,82,85
272,66,48
273,14,62
274,52,81
275,67,26
276,6,5
277,96,4
278,100,22
279,64,52
280,77,49
281,77,71
282,10,42
283,36,19
284,78,29
285,81,88
286,28,55
287,31,18
288,15,68
289,89,22
290,68,58
291,36,6
292,0,93
293,62,76
294,84,43
295,54,22
296,94,4
297,44,59
298,88,0
299,2,54
300,72,60
301,28,55
302,97,98
303,54,18
304,5,81
305,47,18
306,11,6
307,81,21
308,13,83
309,39,94
310,58,85
311,50,5
312,68,28
313,6,44
314,79,102
315,55,1
316,70,82
317,86,15
318,100,1
319,39,21
320,68,44
321,24,89
322,24,0
323,86,29
324,21,42
325,87,21
326,46,21
327,43,40
328,94,81
329,81,5
330,60,40
331,92,68
332,49,38
333,14,68
334,83,1
335,72,62
336,62,93
337,27,52
338,87,14
339,16,55
340,69,17
341,56,93
342,9,43
343,87,17
344,27,96
345,45,59
346,27,78
347,14,94
348,80,0
349,46,6
350,64,50
351,58,43
352,63,4
353,45,98
354,64,26
355,55,23
356,66,13
357,76,12
358,84,88
359,2,77
360,24,83
361,37,26
362,55,67
363,42,62
364,15,43
365,23,50
366,20,80
367,68,79
368,89,80
369,43,9
370,82,20
371,33,37
372,41,56
373,42,90
374,51,57
375,51,26
376,5,80
377,32,22
378,13,63
379,48,31
380,47,47
381,92,57
382,11,27
383,73,81
384,58,28
385,59,63
386,77,95
387,61,92
388,78,19
389,70,89
390,11,33
391,92,37
392,31,0
393,39,92
394,48,24
395,64,11
396,91,56
397,67,67
398,57,54
399,72,41
400,16,44
401,74,66
402,31,24
403,96,40
404,3,3
405,45,13
406,28,55
407,59,83
408,49,56
409,69,96
410,24,85
411,84,3
412,95,4
413,79,27
414,6,17
415,13,95
416,87,98
417,63,47
418,82,96
419,87,19
420,77,37
421,21,88
422,50,68
423,20,37
424,73,102
425,92,64
426,71,30
427,55,50
428,33,42
429,0,98
430,91,101
431,3,28
432,37,66
433,12,96
434,44,1
435,46,45
436,29,85
437,11,36
438,59,70
439,18,52
440,30,57
441,33,60
442,93,95
443,28,79
444,28,102
445,9,101
446,22,42
447,35,16
448,0,49
449,91,6
450,82,56
451,41,5
452,87,1
453,94,16
454,15,17
455,49,83
456,68,73
457,9,71
458,13,34
459,38,54
460,20,25
461,38,18
462,68,49
463,84,0
464,74,56
465,5,48
466,22,29
467,32,92
468,27,69
469,98,13
470,31,13
471,14,86
472,28,39
473,88,53
474,84,15
475,50,91
476,45,54
477,93,59
478,44,59
479,66,29
480,31,14
481,75,64
482,77,27
483,98,7
484,84,16
485,35,21
486,62,99
487,14,101
488,4,27
489,83,66
490,24,27
491,77,56
492,64,95
493,34,35
494,22,64
495,66,63
496,97,96
497,37,27
